frame,time,mode,selected_model,action_throttle,action_steer,carla_pos_x,carla_pos_y,carla_pos_z,carla_yaw_deg,carla_rot_0,carla_rot_1,carla_rot_2,carla_rot_3,speed_mps,model_pos_x,model_pos_y,model_pos_z,model_rot_0,model_rot_1,model_rot_2,model_rot_3,pred_delta_0,pred_delta_1,pred_delta_2,pred_delta_3
37,1.85,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.04832832142710686,0.15919795632362366,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.1361525356770496,-24.471010208129883,0.0528515987098217,64.64484405517578,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.0,0.0,0.0,0.0
38,1.9000000000000001,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.04420642927289009,0.15919795632362366,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.12407204508783562,-24.471010208129883,0.04832832142710686,64.64484405517578,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.0,0.0,0.0,0.0
39,1.9500000000000002,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.0404503233730793,0.15919795632362366,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.11306096613451802,-24.471010208129883,0.04420642927289009,64.64484405517578,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.0,0.0,0.0,0.0
40,2.0,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.037027548998594284,0.15919795632362366,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.10302893072371813,-24.471010208129883,0.0404503233730793,64.64484405517578,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.0,0.0,0.0,0.0
41,2.0500000000000003,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.03390846028923988,0.15919795632362366,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.09388574212795865,-24.471010208129883,0.037027548998594284,64.64484405517578,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.0,0.0,0.0,0.0
42,2.1,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.03106616996228695,0.15919795632362366,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.0855558887131758,-24.471010208129883,0.03390846028923988,64.64484405517578,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.0,0.0,0.0,0.0
43,2.15,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.028476141393184662,0.15919795632362366,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.07796243578364095,-24.471010208129883,0.03106616996228695,64.64484405517578,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.0,0.0,0.0,0.0
44,2.2,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.02611587382853031,0.15919795632362366,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.07104524225189819,-24.471010208129883,0.028476141393184662,64.64484405517578,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.0,0.0,0.0,0.0
45,2.25,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.023965071886777878,0.15919795632362366,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.06474032253062148,-24.471010208129883,0.02611587382853031,64.64484405517578,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.0,0.0,0.0,0.0
46,2.3000000000000003,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.02200515754520893,0.15919795632362366,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.05899579078021932,-24.471010208129883,0.023965071886777878,64.64484405517578,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.0,0.0,0.0,0.0
47,2.35,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.020219115540385246,0.15919795632362366,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.05376101285220368,-24.471010208129883,0.02200515754520893,64.64484405517578,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.0,0.0,0.0,0.0
48,2.4000000000000004,IDLE,,0.0,0.0,-64.64484405517578,24.471010208129883,0.01859157532453537,0.15919795632362366,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.04898946732480724,-24.471010208129883,0.020219115540385246,64.64484405517578,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.0,0.0,0.0,0.0
49,2.45,FORWARD,forward,0.07999999821186066,0.0,-64.63639831542969,24.47087287902832,0.01751144416630268,0.7314963936805725,6.101510371081531e-05,6.002220288792159e-06,0.00638346653431654,0.9999796152114868,0.04556275031426715,-24.47064971923828,0.019697001203894615,64.62074279785156,0.0,0.0,0.01566300541162491,0.9998773336410522,0.024100439622998238,-0.0004282391455490142,-0.0005221145693212748,1.6357237100601196
50,2.5,FORWARD,forward,0.07999999821186066,0.0,-64.60758972167969,24.47130012512207,0.016792982816696167,1.5822991132736206,6.599583139177412e-05,1.347110082861036e-05,0.01380772516131401,0.9999046921730042,0.2687646313228703,-24.471071243286133,0.019519731402397156,64.59454345703125,0.0,0.0,0.02759290300309658,0.9996192455291748,0.0261981338262558,-0.00039923895383253694,-0.0001772696996340528,1.3673934936523438
51,2.5500000000000003,FORWARD,forward,0.07999999821186066,0.0,-64.57683563232422,24.472291946411133,0.01644168794155121,2.4449899196624756,5.423687616712414e-05,1.882084870885592e-05,0.021334942430257797,0.9997723698616028,0.3401680669738591,-24.472305297851562,0.01976137049496174,64.56539916992188,0.0,0.0,0.03531072661280632,0.9993763566017151,0.029170971363782883,-0.0003764741122722626,0.00024163942725863308,0.8848373293876648
52,2.6,FORWARD,forward,0.07999999821186066,0.0,-64.54524993896484,24.474010467529297,0.016431426629424095,3.3279612064361572,4.8251331463688985e-05,1.8846856619347818e-05,0.029037857428193092,0.9995782971382141,0.28915965889689044,-24.474721908569336,0.020349349826574326,64.52992248535156,0.0,0.0,0.04333793371915817,0.9990604519844055,0.0355585440993309,-9.262566891266033e-05,0.0005879786913283169,0.9205644130706787
53,2.6500000000000004,FORWARD,forward,0.07999999821186066,0.0,-64.50674438476562,24.476808547973633,0.01660747453570366,4.174393653869629,3.739182648132555e-05,1.6225803847191855e-05,0.03642040863633156,0.9993366003036499,0.4177949877940658,-24.477882385253906,0.02091960981488228,64.49185943603516,0.0,0.0,0.050125852227211,0.998742938041687,0.03819280117750168,-0.00014666766219306737,0.0005702602793462574,0.7786896228790283
