time_step,true_pos_x,pred_pos_x,error
262,-0.82,-0.74737394,-0.072626054
263,-0.82,-0.7406262,-0.07937378
264,-0.83,-0.73638904,-0.09361094
265,-0.83,-0.7411289,-0.08887106
266,-0.83,-0.7390027,-0.09099728
267,-0.83,-0.74211454,-0.08788544
268,-0.83,-0.7440587,-0.085941255
269,-0.83,-0.74429655,-0.08570343
270,-0.83,-0.74352694,-0.08647305
271,-0.83,-0.7421566,-0.08784336
272,-0.82,-0.7420132,-0.07798678
273,-0.82,-0.7400292,-0.07997078
274,-0.82,-0.7375312,-0.08246881
275,-0.82,-0.73449504,-0.08550495
276,-0.81,-0.7333654,-0.076634586
277,-0.81,-0.7303126,-0.07968742
278,-0.8,-0.7285181,-0.07148188
279,-0.55,-0.54549205,-0.004507959
280,-0.53,-0.5325371,0.0025371313
281,-0.52,-0.5189867,-0.001013279
282,-0.51,-0.5055269,-0.00447309
283,-0.5,-0.4928525,-0.007147491
284,-0.48,-0.48075628,0.00075629354
285,-0.45,-0.4675181,0.017518103
286,-0.44,-0.45050168,0.010501683
287,-0.42,-0.43328875,0.013288766
288,-0.4,-0.41580266,0.015802652
289,-0.39,-0.3988363,0.008836329
290,-0.38,-0.3857941,0.005794108
291,-0.37,-0.3729279,0.0029278994
292,-0.34,-0.3581158,0.018115789
293,-0.32,-0.3412537,0.021253705
294,-0.3,-0.3238604,0.023860395
295,-0.29,-0.30868542,0.01868543
296,-0.28,-0.29097712,0.010977119
297,-0.26,-0.27528095,0.015280962
298,-0.25,-0.26002645,0.010026455
299,-0.23,-0.24641252,0.016412511
300,-0.2,-0.23228925,0.03228925
301,-0.18,-0.21474057,0.034740567
302,-0.17,-0.19566876,0.025668755
303,-0.15,-0.18037856,0.03037855
304,-0.14,-0.16393113,0.02393113
305,-0.12,-0.14529175,0.025291748
306,-0.11,-0.12742478,0.017424777
307,-0.09,-0.11425215,0.024252146
308,-0.06,-0.100064695,0.040064696
309,-0.04,-0.0816133,0.041613303
310,-0.03,-0.058927953,0.028927954
311,-0.01,-0.039376736,0.029376736
312,0.0,-0.012263954,0.012263954
313,0.02,0.0337117,-0.013711702
314,0.04,0.068819225,-0.028819226
315,0.05,0.06543234,-0.015432339
316,0.08,0.0910345,-0.011034504
317,0.1,0.12092742,-0.020927422
318,0.12,0.14391956,-0.02391956
319,0.14,0.17002165,-0.030021653
320,0.16,0.18851519,-0.02851519
321,0.17,0.20649591,-0.03649591
322,0.19,0.22319183,-0.03319183
323,0.21,0.24146478,-0.031464785
324,0.26,0.25966513,0.0003348589
325,0.72,0.7104425,0.009557545
326,0.74,0.73360616,0.00639385
327,0.76,0.75593364,0.004066348
328,0.78,0.7778427,0.002157271
329,0.81,0.7994034,0.010596573
330,0.84,0.82285035,0.017149627
331,0.86,0.84840155,0.011598468
332,0.88,0.873739,0.006260991
333,0.9,0.8981157,0.0018842816
334,0.93,0.92147493,0.0085250735
335,0.95,0.94584924,0.0041507483
336,0.96,0.9697348,-0.009734809
337,1.01,0.99082655,0.019173443
338,1.03,1.0166459,0.013354063
339,1.05,1.0431371,0.006862879
340,1.07,1.0687069,0.0012931824
341,1.08,1.0928543,-0.0128542185
342,1.1,1.1138144,-0.01381433
343,1.12,1.133387,-0.013386965
344,1.13,1.1525638,-0.022563815
345,1.17,1.1700375,-3.7550926e-05
346,1.2,1.1911912,0.008808851
347,1.22,1.2155154,0.0044846535
348,1.23,1.2402464,-0.010246396
349,1.25,1.2626736,-0.012673616
350,1.26,1.2840137,-0.024013758
351,1.28,1.3032658,-0.023265839
352,1.29,1.3221533,-0.032153368
353,1.31,1.3398981,-0.029898167
354,1.33,1.3583302,-0.028330207
355,1.35,1.3772625,-0.02726245
356,1.36,1.3955917,-0.03559172
357,1.38,1.4010339,-0.021033883
358,1.39,1.380228,0.009771943
359,1.4,1.286037,0.11396301
360,1.41,1.2286546,0.18134534
361,1.43,1.2866952,0.1433047
362,1.44,1.357015,0.08298504
363,1.47,1.4039161,0.06608391
364,1.48,1.4255817,0.054418325
365,1.49,1.436414,0.053586006
366,1.5,1.4350148,0.064985156
