time_step,true_yaw_sin,pred_yaw_sin,error
328,0.014272674,0.019967055,-0.005694381
329,0.0152602205,0.021260781,-0.0060005607
330,0.015843688,0.022688,-0.006844312
331,0.016977321,0.024023997,-0.0070466753
332,0.01764107,0.025686665,-0.008045595
333,0.018955773,0.02726231,-0.008306537
334,0.019720031,0.029128792,-0.009408761
335,0.020416409,0.03085729,-0.01044088
336,0.021262914,0.03239906,-0.011136144
337,0.023991281,0.03397394,-0.009982659
338,0.02607179,0.03659703,-0.010525238
339,0.027271599,0.039682455,-0.012410857
340,0.029821573,0.042413287,-0.012591714
341,0.029821573,0.045604743,-0.01578317
342,0.032778695,0.047724657,-0.014945962
343,0.034493,0.05062274,-0.01612974
344,0.038271196,0.053520404,-0.015249208
345,0.04280258,0.05740486,-0.014602281
346,0.048336927,0.062302247,-0.01396532
347,0.05524793,0.068295404,-0.013047475
348,0.059441026,0.07568066,-0.016239632
349,0.06962344,0.08243006,-0.012806617
350,0.06962344,0.09148486,-0.02186142
351,0.083470576,0.09706181,-0.013591237
352,0.10338011,0.106666096,-0.0032859892
353,0.10338011,0.12244255,-0.019062445
354,0.13439706,0.13217698,0.0022200793
355,0.1891569,0.15135647,0.03780043
356,0.30949172,0.18799488,0.12149684
357,0.44090387,0.25906613,0.18183774
358,0.70207417,0.340246,0.36182818
359,0.71210384,0.42939773,0.2827061
360,0.45350114,0.44567865,0.007822484
361,0.3229479,0.37926623,-0.056318343
362,0.2030655,0.2890243,-0.085958794
363,0.14843854,0.20219015,-0.053751603
364,0.14843854,0.14006668,0.00837186
365,0.0,0.11182641,-0.11182641
366,0.14843854,0.05433218,0.09410636
367,0.14843854,0.07090329,0.07753526
368,0.14843854,0.094710216,0.053728327
369,0.14843854,0.111948095,0.036490448
370,0.14843854,0.11870066,0.029737882
371,0.14843854,0.11931185,0.029126696
372,0.14843854,0.11691978,0.031518765
373,0.14843854,0.114239894,0.03419865
374,0.117477395,0.11232596,0.0051514357
375,0.117477395,0.10179043,0.015686966
376,0.09759636,0.094592564,0.0030037984
377,0.09759636,0.08488609,0.012710273
378,0.0837657,0.07905065,0.004715048
379,0.07836976,0.07219791,0.0061718524
380,0.06950546,0.066701785,0.0028036758
381,0.062600285,0.06123235,0.001367934
382,0.09950372,0.0561921,0.04331162
383,0.057070106,0.06473332,-0.0076632127
384,0.05254181,0.05896923,-0.0064274184
385,0.05062337,0.052260846,-0.0016374774
386,0.047155313,0.047697484,-0.0005421713
387,0.04419983,0.04436621,-0.00016637892
388,0.07124705,0.041758455,0.029488593
389,0.06651901,0.049035005,0.017484002
390,0.062378287,0.053221054,0.009157233
391,0.06049506,0.053899467,0.006595593
392,0.057049792,0.053125434,0.0039243586
393,0.020416409,0.051283427,-0.030867018
394,0.053975258,0.03836207,0.015613187
395,0.01764107,0.0400519,-0.02241083
396,0.016977321,0.031268597,-0.014291275
397,0.0152602205,0.02430694,-0.009046719
398,0.014272674,0.019217482,-0.004944808
399,0.013754297,0.016176684,-0.0024223868
400,0.013754297,0.014768766,-0.0010144692
401,0.013754297,0.014353322,-0.0005990248
402,0.014272674,0.014409756,-0.0001370823
403,0.013754297,0.01489784,-0.001143543
404,0.013754297,0.015032537,-0.0012782402
405,0.014272674,0.015109513,-0.00083683897
406,0.014272674,0.015408242,-0.0011355681
407,0.014272674,0.015710648,-0.0014379742
408,0.014272674,0.015961932,-0.001689258
409,0.014272674,0.016168492,-0.0018958179
410,0.014272674,0.016327376,-0.0020547016
411,0.014810752,0.01644005,-0.0016292986
412,0.0152602205,0.016809572,-0.001549351
413,0.0152602205,0.017393582,-0.002133361
414,0.0152602205,0.017819548,-0.0025593275
415,0.015843688,0.018134898,-0.00229121
416,0.015843688,0.018533057,-0.002689369
417,0.016977321,0.019013824,-0.0020365026
418,0.016977321,0.02004175,-0.0030644294
419,0.01764107,0.02086482,-0.0032237507
420,0.018955773,0.021738483,-0.00278271
421,0.019720031,0.022994282,-0.0032742508
422,0.021262914,0.024199182,-0.0029362682
423,0.021262914,0.025810668,-0.0045477543
424,0.022155225,0.026557432,-0.004402207
425,0.022155225,0.027300222,-0.0051449966
426,0.022155225,0.027848227,-0.0056930017
427,0.022992592,0.028228125,-0.0052355323
428,0.022992592,0.028913895,-0.0059213024
429,0.022992592,0.029494734,-0.006502142
430,0.022992592,0.029906644,-0.0069140512
431,0.022992592,0.024318459,-0.0013258662
432,0.022992592,0.021223469,0.0017691236
433,0.023991281,0.019790659,0.0042006224
434,0.022992592,0.019901747,0.0030908454
435,0.021262914,0.020100648,0.0011622664
436,0.019720031,0.019874664,-0.00015463307
437,0.01764107,0.019398378,-0.0017573088
438,0.016977321,0.018480131,-0.00150281
439,0.043437224,0.017791895,0.025645329
440,0.042514715,0.025142113,0.017372603
441,0.04078237,0.03053136,0.01025101
442,0.039185565,0.032964043,0.0062215216
443,0.01123201,0.033406064,-0.022174053
444,0.03633962,0.024823809,0.011515809
445,0.009790121,0.025848167,-0.016058046
446,0.009195617,0.01975379,-0.010558172
447,0.008518018,0.01475694,-0.0062389225
448,0.007997745,0.011651302,-0.003653557
449,0.0076873116,0.009972902,-0.0022855904
450,0.014421577,0.009188695,0.0052328818
451,0.013275265,0.011099119,0.002176146
452,0.012718321,0.01224927,0.00046905037
453,0.011902556,0.012657849,-0.0007552933
454,0.011378417,0.012497228,-0.0011188108
455,0.005179527,0.01212603,-0.006946503
456,0.004823976,0.009464195,-0.004640219
457,0.004583103,0.006959172,-0.0023760688
458,0.0043454235,0.0050136484,-0.0006682249
459,0.0043454235,0.003941413,0.00040401053
460,0.008687769,0.0034489017,0.0052388674
461,0.0043454235,0.0048182923,-0.0004728688
462,0.0043454235,0.004339304,6.1197206e-06
463,0.0043454235,0.00374889,0.00059653353
464,0.0043454235,0.0033778194,0.0009676041
465,0.0043454235,0.0032756738,0.0010697497
466,0.0043454235,0.0033029262,0.0010424973
467,0.008687769,0.0034169368,0.005270832
468,0.025632601,0.0053157676,0.020316834
469,0.029963732,0.013258388,0.016705343
470,0.029963732,0.020697033,0.009266699
471,0.029405406,0.025108533,0.0042968728
472,0.028857954,0.027072044,0.0017859098
473,0.027944941,0.027702356,0.00024258532
474,0.026924154,0.027637584,-0.00071343035
475,0.026924154,0.027159313,-0.00023515895
476,0.02642707,0.026980719,-0.0005536489
477,0.025938338,0.026937379,-0.0009990409
478,0.025457585,0.026881708,-0.0014241226
479,0.024984453,0.026860056,-0.0018756036
480,0.023778802,0.026911693,-0.003132891
481,0.022899358,0.026672443,-0.0037730858
482,0.02246849,0.026327295,-0.0038588047
483,0.02162306,0.026057398,-0.004434338
484,0.02079758,0.02571875,-0.00492117
485,0.019990006,0.025365325,-0.005375318
486,0.019592319,0.024985136,-0.005392818
487,0.018807959,0.024744438,-0.005936479
488,0.018036753,0.024420993,-0.0063842405
489,0.016526667,0.024030404,-0.0075037368
490,-0.0049683684,0.023242721,-0.02821109
491,-0.0058277706,0.0146618895,-0.02048966
492,-0.006702122,0.0076093692,-0.014311491
493,-0.007145677,0.0033017136,-0.01044739
494,-0.007145677,0.0011597872,-0.008305464
495,-0.007755045,0.0003965441,-0.008151589
496,-0.008218604,5.0322153e-05,-0.008268926
497,-0.008687769,-0.00022189133,-0.008465878
498,-0.009162919,-0.00051797554,-0.008644943
499,-0.009644444,-0.0008564899,-0.008787954
500,-0.01035514,-0.0011915863,-0.009163554
501,-0.01035514,-0.0016681869,-0.008686953
502,-0.010862774,-0.0019104928,-0.008952281
503,-0.011378417,-0.0021140734,-0.009264343
504,-0.011902556,-0.0024312288,-0.009471327
505,-0.012171383,-0.0028160335,-0.0093553495
506,-0.012718321,-0.0030413829,-0.009676938
507,-0.012718321,-0.003460465,-0.009257856
508,-0.013275265,-0.003707624,-0.009567641
509,-0.013842808,-0.004060982,-0.009781826
510,-0.014760355,-0.0045429245,-0.010217431
511,-0.015367545,-0.00512805,-0.010239495
512,-0.01838166,-0.0058662877,-0.0125153735
513,-0.09622337,-0.12667279,0.03044942
514,-0.1772635,-0.12034946,-0.05691404
515,-0.20253962,-0.16020027,-0.042339355
516,-0.15205719,-0.20645632,0.054399133
517,-0.16491325,-0.20797954,0.043066293
518,-0.21693046,-0.20894995,-0.007980511
519,-0.37139067,-0.23766911,-0.13372156
520,-0.062378287,-0.046011955,-0.016366333
521,-0.058722023,-0.041857623,-0.0168644
522,-0.057049792,-0.03896637,-0.018083423
523,-0.052558832,-0.037362363,-0.015196469
524,-0.049937617,-0.034900993,-0.015036624
525,-0.048722554,-0.03264148,-0.016081072
526,-0.0464614,-0.031191682,-0.015269717
527,-0.04540766,-0.02984892,-0.01555874
528,-0.043437224,-0.029117418,-0.014319805
529,-0.042514715,-0.028175142,-0.014339574
530,-0.04078237,-0.027418977,-0.013363393
531,-0.04078237,-0.02645512,-0.01432725
532,-0.039185565,-0.026207428,-0.012978137
533,-0.038433123,-0.026748821,-0.011684302
534,-0.01123201,-0.030028071,0.01879606
535,-0.011652523,-0.019534854,0.0078823315
536,-0.012886318,-0.012125211,-0.00076110754
537,-0.013754297,-0.010092695,-0.0036616018
