time_step,true_yaw_cos,pred_yaw_cos,error
236,-0.9980526,-0.95990586,-0.038146734
237,-0.9980526,-0.9595499,-0.038502693
238,-0.9980526,-0.9592763,-0.03877628
239,-0.9980526,-0.95911694,-0.03893566
240,-0.9980526,-0.9590181,-0.039034486
241,-0.9980526,-0.95892715,-0.039125443
242,-0.9980526,-0.95881414,-0.039238453
243,-0.9980526,-0.95866823,-0.039384365
244,-0.99778515,-0.95830715,-0.039478004
245,-0.99778515,-0.957597,-0.040188134
246,-0.99778515,-0.9565278,-0.04125732
247,-0.99778515,-0.9552866,-0.04249853
248,-0.99778515,-0.95415187,-0.043633282
249,-0.99778515,-0.95359325,-0.044191897
250,-0.99778515,-0.95377445,-0.0440107
251,-0.99778515,-0.95396507,-0.043820083
252,-0.99778515,-0.95379734,-0.04398781
253,-0.99778515,-0.9533478,-0.04443735
254,-0.99778515,-0.9528998,-0.044885337
255,-0.99778515,-0.9530215,-0.044763625
256,-0.99778515,-0.9531214,-0.044663727
257,-0.99778515,-0.9547181,-0.043067038
258,-0.99778515,-0.95700586,-0.040779293
259,-0.9980526,-0.9594035,-0.038649082
260,-0.99816847,-0.96130276,-0.03686571
261,-0.9956968,-0.96379054,-0.031906247
262,-0.9956968,-0.97522295,-0.020473838
263,-0.99611264,-0.98443496,-0.011677682
264,-0.9986178,-0.9905027,-0.008115113
265,-0.99662244,-0.98444164,-0.012180805
266,-0.9988124,-0.9878055,-0.011006892
267,-0.9989201,-0.9811418,-0.017778277
268,-0.9990138,-0.97453475,-0.024479032
269,-0.99916804,-0.9696367,-0.02953136
270,-0.99920094,-0.9665142,-0.03268671
271,-0.9996408,-0.9648919,-0.03474891
272,-0.9996489,-0.9607096,-0.038939357
273,-0.99966687,-0.9582038,-0.041463077
274,-0.9993628,-0.9571619,-0.042200923
275,-0.9996801,-0.96021867,-0.039461434
276,-0.99942595,-0.9601809,-0.03924507
277,-0.9997004,-0.9628247,-0.036875725
278,-0.9995121,-0.962821,-0.03669107
279,-0.9996797,-0.98889375,-0.010785937
280,-0.9996797,-0.9893013,-0.010378361
281,-0.9996877,-0.98960674,-0.010080934
282,-0.9997027,-0.9898951,-0.009807587
283,-0.9997098,-0.9903815,-0.009328306
284,-0.9997167,-0.9909302,-0.0087864995
285,-0.9997297,-0.99162316,-0.00810653
286,-0.99969935,-0.99251115,-0.007188201
287,-0.99975854,-0.99409926,-0.005659282
288,-0.9997532,-0.9959402,-0.0038129687
289,-0.99999833,-0.997548,-0.002450347
290,-0.9999987,-0.99200916,-0.007989526
291,-0.9997638,-0.9877045,-0.012059271
292,-0.99977374,-0.9924942,-0.0072795153
293,-0.99977845,-0.9977648,-0.0020136237
294,-0.9999997,-1.0021912,0.002191484
295,-0.9997875,-0.99871695,-0.001070559
296,-0.9997918,-1.0026033,0.0028114915
297,-0.999796,-1.0068828,0.0070868134
298,-0.999796,-1.010536,0.010739982
299,-0.9998001,-1.0131291,0.013329029
300,-0.99980783,-1.0152581,0.015450239
301,-0.99981153,-1.0174667,0.017655134
302,-0.9999997,-1.0197217,0.019722044
303,-0.9999997,-1.0148109,0.014811218
304,-0.9998186,-1.0106635,0.010844886
305,-0.999822,-1.0156959,0.015873909
306,-0.999999,-1.0212003,0.021201313
307,-0.999999,-1.0183737,0.018374741
308,-0.99999833,-1.0156521,0.01565373
309,-0.9998348,-1.0144787,0.014643908
310,-0.99983174,-1.022354,0.02252227
311,-0.99999744,-1.0293952,0.029397786
312,-0.9998348,-1.015412,0.015577197
313,-0.9998377,-0.993024,-0.006813705
314,-0.9998406,-0.97194207,-0.02789855
315,-0.9998434,-0.99329567,-0.006547749
316,-0.99984616,-0.9980637,-0.0017824769
317,-0.9998488,-0.99400413,-0.0058446527
318,-0.9998514,-0.9849714,-0.014880002
319,-0.9998514,-0.9828049,-0.017046511
320,-0.9998514,-0.98008597,-0.019765437
321,-0.99999154,-0.97953117,-0.020460367
322,-0.9998564,-0.9719019,-0.027954519
323,-0.9999906,-0.9746922,-0.025298357
324,-0.9999866,-0.97011817,-0.029868424
325,-0.9999229,-1.0131531,0.013230205
326,-0.999917,-1.0124891,0.01257211
327,-0.9999054,-1.0116508,0.011745393
