time_step,true_pitch_deg,pred_pitch_deg,error
223,62.272602,63.405807,-1.1332054
224,62.272602,63.52805,-1.2554474
225,62.272602,63.601574,-1.3289719
226,62.865784,63.6315,-0.76571655
227,62.865784,63.743492,-0.87770844
228,62.865784,63.86488,-0.9990959
229,62.865784,63.946407,-1.0806236
230,62.865784,63.978603,-1.1128197
231,62.865784,63.970448,-1.1046638
232,62.865784,63.938404,-1.0726204
233,63.84031,63.8903,-0.049991608
234,63.84031,64.00639,-0.16608429
235,63.84031,64.14131,-0.3010025
236,63.84031,64.24127,-0.40096283
237,63.84031,64.28223,-0.44191742
238,63.84031,64.27261,-0.43230438
239,63.84031,64.22337,-0.38306427
240,63.84031,64.148964,-0.3086548
241,63.84031,64.06147,-0.22116089
242,63.84031,63.968678,-0.12836838
243,63.84031,63.874737,-0.034427643
244,65.417656,63.78278,1.6348763
245,65.417656,63.980953,1.4367027
246,65.417656,64.22513,1.1925278
247,65.417656,64.388504,1.0291519
248,65.417656,64.46344,0.954216
249,65.417656,64.44442,0.9732361
250,65.417656,64.32613,1.0915222
251,65.417656,64.158134,1.2595215
252,65.417656,63.973576,1.4440804
253,65.417656,63.784557,1.6330986
254,65.417656,63.557133,1.8605232
255,65.417656,63.28875,2.1289062
256,65.417656,63.023174,2.3944817
257,65.417656,62.663578,2.754078
258,65.417656,62.22583,3.1918259
259,63.84031,61.737186,2.1031227
260,62.865784,60.91593,1.949852
261,61.237843,59.81729,1.4205513
262,61.237843,58.576984,2.6608582
263,59.679188,57.59137,2.0878181
264,58.73692,56.54515,2.1917686
265,57.13466,55.375343,1.7593155
266,56.174656,53.94737,2.2272873
267,54.6289,52.62539,2.0035095
268,53.09617,51.2029,1.8932686
269,49.519333,49.74454,-0.22520828
270,48.477486,47.94345,0.5340347
271,46.991028,46.205795,0.78523254
272,45.939514,44.497208,1.4423065
273,44.444492,42.93013,1.5143623
274,43.363678,41.457077,1.906601
275,42.317272,40.20053,2.1167412
276,40.819775,39.05092,1.768856
277,39.76556,37.944683,1.8208771
278,36.12206,36.842945,-0.72088623
279,21.927454,22.56123,-0.6337757
280,21.927454,21.54984,0.37761307
