time_step,true_pos_z,pred_pos_z,error
294,2.19,2.1434407,0.046559334
295,2.2,2.1625655,0.037434578
296,2.21,2.17829,0.031710148
297,2.22,2.1906478,0.029352188
298,2.23,2.20145,0.02854991
299,2.24,2.2113266,0.02867341
300,2.26,2.2211978,0.038802147
301,2.27,2.2331996,0.036800385
302,2.28,2.2457514,0.03424859
303,2.29,2.26217,0.027829885
304,2.3,2.2792704,0.020729542
305,2.31,2.2909067,0.019093275
306,2.32,2.2992382,0.020761728
307,2.32,2.3107789,0.009221077
308,2.34,2.322436,0.01756382
309,2.34,2.3355665,0.0044333935
310,2.35,2.3430173,0.006982565
311,2.36,2.3474476,0.012552261
312,2.37,2.3291368,0.040863037
313,2.37,2.2919614,0.078038454
314,2.38,2.2578754,0.12212467
315,2.38,2.368941,0.011059046
316,2.39,2.3691146,0.020885468
317,2.4,2.348866,0.05113411
318,2.4,2.3260067,0.073993444
319,2.41,2.3267012,0.08329892
320,2.41,2.3283617,0.081638336
321,2.42,2.3364723,0.0835278
322,2.42,2.3524175,0.06758261
323,2.43,2.3641286,0.06587148
324,2.44,2.3778508,0.062149286
325,2.41,2.4238465,-0.013846397
326,2.41,2.4159193,-0.005919218
327,2.4,2.4080873,-0.008087158
328,2.4,2.3989973,0.0010027885
329,2.38,2.3901868,-0.010186672
330,2.37,2.3789048,-0.008904934
331,2.37,2.3663588,0.0036411285
332,2.36,2.354221,0.0057787895
333,2.35,2.342016,0.007983923
334,2.34,2.3290539,0.010946035
335,2.33,2.3156219,0.014378071
336,2.32,2.3023787,0.017621279
337,2.3,2.289115,0.010885
338,2.29,2.2725365,0.017463446
339,2.27,2.2548344,0.015165567
340,2.26,2.2360399,0.023960114
341,2.25,2.2171605,0.032839537
342,2.24,2.2002454,0.03975463
343,2.23,2.183887,0.046113014
344,2.21,2.1682253,0.04177475
345,2.19,2.1512654,0.038734674
346,2.16,2.1321423,0.02785778
347,2.15,2.1098063,0.040193796
348,2.13,2.0875418,0.042458296
349,2.12,2.0660942,0.053905725
350,2.1,2.0458648,0.054135084
351,2.08,2.0277824,0.052217484
352,2.07,2.0087852,0.061214685
353,2.05,1.9901266,0.059873343
354,2.03,1.9741869,0.055813074
355,2.0,1.9556837,0.04431629
356,1.99,1.9304864,0.05951357
357,1.97,1.8908758,0.07912421
358,1.95,1.8380067,0.11199331
359,1.93,1.7534549,0.17654502
360,1.91,1.7881498,0.12185013
361,1.89,1.9220719,-0.032071948
362,1.87,2.0218496,-0.15184963
363,1.82,2.0557327,-0.23573267
364,1.79,2.0243158,-0.23431587
365,1.76,1.9621441,-0.20214415
366,1.74,1.8760052,-0.13600516
367,1.71,1.8137014,-0.10370135
368,1.69,1.758704,-0.06870389
369,1.66,1.7126627,-0.05266273
370,1.62,1.6306837,-0.010683656
371,1.6,1.545758,0.054242015
372,1.57,1.4885025,0.08149755
373,1.55,1.4605832,0.08941674
374,1.52,1.4511807,0.068819284
375,1.49,1.4439156,0.046084404
376,1.47,1.4352891,0.034710884
377,1.45,1.4215214,0.028478622
378,1.43,1.4047449,0.025255084
379,1.4,1.3852708,0.014729142
380,1.37,1.363487,0.0065129995
381,1.35,1.3398688,0.01013124
382,1.32,1.3167603,0.0032397509
383,1.3,1.3020364,-0.0020364523
384,1.28,1.2798424,0.00015759468
385,1.25,1.2573946,-0.007394552
386,1.23,1.2347932,-0.004793167
387,1.2,1.21351,-0.013509989
388,1.18,1.1923501,-0.012350202
389,1.15,1.1784055,-0.028405547
390,1.13,1.1634722,-0.03347218
391,1.11,1.1482067,-0.038206697
392,1.08,1.1327496,-0.052749515
393,1.06,1.1157728,-0.0557729
394,1.04,1.0916148,-0.05161488
395,1.0,1.0740278,-0.07402778
396,0.98,1.0487236,-0.06872356
397,0.94,1.0236683,-0.08366829
398,0.91,0.9993202,-0.08932018
399,0.89,0.9741294,-0.08412939
400,0.86,0.9487163,-0.08871627
401,0.84,0.92140734,-0.08140737
402,0.81,0.8941952,-0.0841952
403,0.78,0.8659141,-0.085914135
404,0.76,0.837576,-0.07757598
405,0.72,0.8110194,-0.09101939
406,0.69,0.78222966,-0.092229664
407,0.66,0.75238645,-0.092386425
408,0.64,0.7222657,-0.082265735
409,0.61,0.69402003,-0.08402002
410,0.58,0.6662686,-0.086268604
411,0.55,0.63838404,-0.08838403
412,0.53,0.6095723,-0.07957232
413,0.5,0.581705,-0.081704974
414,0.47,0.5536446,-0.0836446
415,0.44,0.5251046,-0.085104585
416,0.41,0.4949965,-0.08499649
417,0.38,0.46344605,-0.083446056
418,0.36,0.43047437,-0.07047436
419,0.33,0.39919448,-0.069194466
420,0.31,0.36851388,-0.05851388
421,0.27,0.33975345,-0.06975344
422,0.25,0.30972183,-0.059721828
423,0.21,0.28237668,-0.07237668
424,0.17,0.25499362,-0.084993616
425,0.15,0.22572961,-0.07572961
426,0.12,0.19813055,-0.07813055
427,0.09,0.17100823,-0.081008226
428,0.07,0.14362526,-0.07362526
429,0.04,0.117697775,-0.077697776
430,0.01,0.091644585,-0.08164459
431,-0.01,-0.03494376,0.02494376
432,-0.05,-0.13195097,0.08195098
433,-0.11,-0.18648249,0.07648249
434,-0.17,-0.21441525,0.04441525
435,-0.2,-0.23084867,0.030848667
436,-0.23,-0.24271452,0.01271452
437,-0.26,-0.2550758,-0.004924178
438,-0.28,-0.27006942,-0.009930581
439,-0.34,-0.28680336,-0.05319664
440,-0.37,-0.30149007,-0.06850994
441,-0.4,-0.31936264,-0.080637366
442,-0.42,-0.34153354,-0.078466445
443,-0.45,-0.3651799,-0.08482009
444,-0.48,-0.39960772,-0.08039227
445,-0.51,-0.42734987,-0.082650125
446,-0.54,-0.46197093,-0.078029096
447,-0.58,-0.49777138,-0.0822286
448,-0.6,-0.5341892,-0.0658108
449,-0.62,-0.56765765,-0.052342355
450,-0.64,-0.5977734,-0.042226613
451,-0.67,-0.62338036,-0.046619654
452,-0.69,-0.6483565,-0.0416435
453,-0.71,-0.6725307,-0.037469268
