time_step,true_pos_y,pred_pos_y,error
267,0.19,0.18956934,0.00043065846
268,0.19,0.18958224,0.00041775405
269,0.19,0.1895782,0.00042179227
270,0.19,0.1895701,0.0004298985
271,0.19,0.1895582,0.00044180453
272,0.19,0.18956183,0.00043816864
273,0.19,0.18955255,0.00044745207
274,0.19,0.18953806,0.000461936
275,0.19,0.18951102,0.0004889816
276,0.19,0.18951075,0.0004892498
277,0.19,0.18949935,0.0005006492
278,0.19,0.18950535,0.00049464405
279,0.19,0.18933107,0.000668928
280,0.19,0.18932733,0.0006726682
281,0.19,0.18932253,0.0006774664
282,0.19,0.18932156,0.00067843497
283,0.19,0.18932293,0.00067706406
284,0.19,0.18932617,0.0006738305
285,0.19,0.18932758,0.0006724149
286,0.19,0.18932658,0.0006734133
287,0.19,0.1893226,0.0006773919
288,0.19,0.18932368,0.000676319
289,0.19,0.18932077,0.00067922473
290,0.19,0.18935175,0.0006482452
291,0.19,0.189363,0.00063699484
292,0.19,0.18932737,0.0006726235
293,0.19,0.18930507,0.00069493055
294,0.19,0.18929553,0.0007044673
295,0.19,0.18932706,0.00067293644
296,0.19,0.18931065,0.0006893426
297,0.19,0.18930079,0.0006992072
298,0.19,0.18930002,0.00069998205
299,0.19,0.18930523,0.00069476664
300,0.19,0.18931168,0.00068831444
301,0.19,0.1893156,0.00068439543
302,0.19,0.18931663,0.00068336725
303,0.19,0.18935233,0.00064766407
304,0.19,0.18936785,0.00063215196
305,0.19,0.18933626,0.0006637424
306,0.19,0.18931752,0.0006824732
307,0.19,0.18934846,0.0006515384
308,0.19,0.18936521,0.00063478947
309,0.19,0.1893669,0.00063309073
310,0.19,0.18932636,0.0006736368
311,0.18,0.1893075,-0.009307489
312,0.18,0.1860016,-0.0060015917
313,0.18,0.1830702,-0.0030701905
314,0.19,0.18134266,0.008657336
315,0.18,0.18412462,-0.0041246116
316,0.18,0.18350746,-0.0035074502
317,0.18,0.18239285,-0.0023928434
318,0.18,0.18157376,-0.0015737563
319,0.18,0.18120374,-0.0012037307
320,0.18,0.1810882,-0.0010881871
321,0.18,0.18112805,-0.0011280477
322,0.18,0.18126662,-0.0012666136
323,0.18,0.1813522,-0.001352191
324,0.19,0.18144798,0.008552015
325,0.19,0.18945836,0.0005416423
326,0.19,0.18946333,0.0005366653
327,0.19,0.18946756,0.0005324334
328,0.19,0.1894691,0.0005308986
329,0.19,0.1894699,0.0005300939
330,0.19,0.18946497,0.0005350262
331,0.19,0.18945643,0.00054356456
332,0.19,0.18945064,0.0005493611
333,0.19,0.18944678,0.0005532205
334,0.19,0.18944433,0.0005556643
335,0.19,0.18943964,0.00056035817
336,0.19,0.18943563,0.0005643666
337,0.19,0.18943526,0.0005647391
338,0.19,0.18942459,0.00057540834
339,0.19,0.18940994,0.0005900562
340,0.19,0.18939555,0.0006044507
341,0.19,0.1893855,0.0006144941
342,0.19,0.18938155,0.0006184429
343,0.19,0.18938072,0.00061927736
344,0.19,0.18937746,0.0006225407
345,0.19,0.18937176,0.00062823296
346,0.19,0.18935539,0.00064460933
347,0.19,0.18932806,0.00067193806
348,0.19,0.18930037,0.0006996244
349,0.19,0.18927506,0.0007249415
350,0.19,0.18925428,0.0007457137
351,0.19,0.18923196,0.00076803565
352,0.19,0.18921116,0.0007888377
353,0.19,0.1891898,0.00081019104
354,0.19,0.18915194,0.0008480549
355,0.19,0.18910967,0.0008903295
356,0.19,0.18904707,0.00095292926
357,0.19,0.18893197,0.0010680258
358,0.19,0.18872951,0.0012704879
359,0.19,0.18852335,0.0014766455
360,0.19,0.18864824,0.0013517588
361,0.19,0.18840066,0.0015993416
362,0.19,0.18796325,0.0020367503
363,0.19,0.18766396,0.0023360401
364,0.19,0.18764597,0.0023540258
365,0.19,0.18786664,0.0021333545
366,0.19,0.18800828,0.001991719
367,0.19,0.18837251,0.0016274899
368,0.19,0.18858996,0.0014100373
369,0.18,0.18868008,-0.008680075
370,0.18,0.18536474,-0.005364731
