time_step,true_roll_deg,pred_roll_deg,error
243,3.5763345,5.3566513,-1.7803168
244,3.8140748,5.405388,-1.5913131
245,3.8140748,5.6013107,-1.787236
246,3.8140748,5.7838364,-1.9697616
247,3.8140748,5.9337997,-2.119725
248,3.8140748,6.0513916,-2.2373168
249,3.8140748,6.133194,-2.3191192
250,3.8140748,6.1830826,-2.3690078
251,3.8140748,6.2437744,-2.4296997
252,3.8140748,6.3239822,-2.5099075
253,3.8140748,6.420532,-2.6064575
254,3.8140748,6.52269,-2.708615
255,3.8140748,6.6000214,-2.7859466
256,3.8140748,6.681885,-2.86781
257,3.8140748,6.6844406,-2.8703659
258,3.8140748,6.6721725,-2.8580978
259,3.5763345,6.6620026,-3.085668
260,3.4682293,6.570793,-3.1025639
261,4.4808826,6.4359436,-1.955061
262,4.4808826,6.344223,-1.8633404
263,4.2172537,6.2178345,-2.0005808
264,3.0127876,5.967766,-2.9549782
265,3.8678684,5.773361,-1.9054928
266,2.7927024,5.6651382,-2.8724358
267,2.6630008,5.6581497,-2.995149
268,2.5448043,5.706711,-3.1619065
269,2.3373058,5.7654724,-3.4281666
270,2.29061,5.711731,-3.421121
271,0.66765547,5.6532593,-4.985604
272,0.6435603,5.524994,-4.8814335
273,0.6042628,5.397064,-4.7928014
274,2.0454085,5.2665253,-3.2211168
275,0.5609416,5.1813126,-4.620371
276,1.9414864,5.0268936,-3.0854073
277,0.50722706,4.9074707,-4.4002438
278,1.7899106,4.727127,-2.9372165
279,1.4502163,2.5499039,-1.0996876
280,1.4502163,2.544693,-1.0944767
281,1.4320962,2.559555,-1.1274588
282,1.397181,2.5740585,-1.1768775
283,1.380354,2.5625687,-1.1822146
284,1.3639275,2.5460587,-1.1821312
285,1.3322198,2.5150528,-1.182833
286,2.456222,2.4478683,0.00835371
287,1.2590452,2.3868332,-1.127788
288,1.27303,2.2026443,-0.9296143
289,1.1552333,2.060669,-0.9054357
290,1.153257,2.1574478,-1.0041908
291,1.2453643,2.2997513,-1.054387
292,1.2188753,2.176445,-0.9575697
293,1.2060487,1.9099655,-0.7039168
294,1.1477134,1.6217346,-0.4740212
295,1.181189,1.6367874,-0.45559847
296,1.1691394,1.4753494,-0.30621004
297,1.157333,1.2445908,-0.08725774
298,1.157333,0.9951019,0.16223109
299,1.1457628,0.8129349,0.33282793
300,1.1233027,0.65023804,0.47306466
301,1.1123996,0.46701813,0.64538145
302,1.1477134,0.29698944,0.850724
303,1.1477134,0.44781494,0.6998985
304,1.0912162,0.7017975,0.38941872
305,1.0809242,0.5611572,0.5197669
306,1.151519,0.2762909,0.87522805
307,1.151519,0.31567383,0.8358451
308,1.1552333,0.458992,0.69624126
309,1.0416267,0.55532837,0.48629832
310,1.0511807,0.19812012,0.8530606
311,1.1719167,-0.2088623,1.380779
312,1.0416267,-1.4076767,2.4493034
313,1.0322447,0.45612335,0.57612133
314,1.0230302,2.8814926,-1.8584625
315,1.0139787,2.5077515,-1.4937727
316,1.0050861,2.989006,-1.98392
317,0.9963479,4.0813446,-3.0849967
318,0.9877604,5.1860123,-4.1982517
319,0.9877604,6.159996,-5.1722355
320,0.9877604,6.7697983,-5.7820377
321,1.2149199,7.1545563,-5.939636
322,0.97102195,8.022545,-7.0515227
323,1.2200669,8.166443,-6.946376
324,1.2516739,8.7619095,-7.510236
325,1.5798135,0.25343323,1.3263803
326,1.5999266,0.3501892,1.2497374
327,1.6496625,0.4638672,1.1857953
328,1.6729368,0.57941437,1.0935224
329,1.7295252,0.7223587,1.0071665
330,1.7566253,0.86473083,0.89189446
331,1.8215865,1.0322189,0.78936756
332,1.853381,1.2588348,0.5945462
333,1.9287207,1.4977798,0.43094087
334,1.9663676,1.7516022,0.21476543
335,2.0124252,2.0271606,-0.01473546
