time_step,true_yaw_sin,pred_yaw_sin,error
290,0.052558832,0.046290435,0.006268397
291,0.052558832,0.04579498,0.006763853
292,0.05121475,0.045660693,0.0055540577
293,0.049937617,0.045134332,0.004803285
294,0.049937617,0.04419433,0.0057432875
295,0.049937617,0.043389294,0.0065483227
296,0.049937617,0.04280349,0.0071341284
297,0.048722554,0.042406354,0.0063162
298,0.048722554,0.041677006,0.0070455484
299,0.048722554,0.041049886,0.0076726675
300,0.048722554,0.040593673,0.008128881
301,0.048722554,0.040278554,0.008444
302,0.0464614,0.040063635,0.006397765
303,0.0464614,0.039101847,0.007359553
304,0.0464614,0.038230605,0.008230794
305,0.04540766,0.037640568,0.0077670924
306,0.04540766,0.03686866,0.008538999
307,0.04540766,0.036285605,0.009122055
308,0.043437224,0.035939787,0.0074974373
309,0.043437224,0.035061397,0.008375827
310,0.043437224,0.034331247,0.009105977
311,0.043437224,0.033890795,0.009546429
312,0.042514715,0.033695202,0.008819513
313,0.05619504,0.032997154,0.023197886
314,0.053603802,0.03636607,0.01723773
315,0.053603802,0.03880322,0.014800582
316,0.03996804,0.040251203,-0.00028316304
317,0.03770901,0.036613137,0.0010958724
318,0.03770901,0.032134797,0.0055742115
319,0.03633962,0.028896712,0.0074429065
320,0.03506614,0.026580378,0.008485761
321,0.033878844,0.024889674,0.00898917
322,0.03331483,0.023664188,0.009650644
323,0.032769278,0.022935763,0.009833515
324,0.03173005,0.022568751,0.009161297
325,0.031234752,0.022244781,0.008989971
326,0.029837456,0.022077095,0.007760361
327,0.029399052,0.021695629,0.0077034235
328,0.02897334,0.021705609,0.0072677303
329,0.028157845,0.021802869,0.0063549764
330,0.027767068,0.021942351,0.0058247168
331,0.027386984,0.02213348,0.005253503
332,0.027017161,0.02237758,0.004639581
333,0.026306681,0.02263097,0.0036757104
334,0.025965268,0.022784885,0.0031803828
335,0.025632601,0.022946775,0.0026858263
336,0.02499219,0.023114104,0.0018780865
337,0.024382992,0.023203552,0.00117944
338,0.024089392,0.023274928,0.00081446394
339,0.006702122,0.023420732,-0.016718611
340,0.006262925,0.018581608,-0.012318684
341,0.0058277706,0.014087645,-0.008259875
342,0.025938338,0.01103388,0.014904458
343,0.025457585,0.0151644815,0.010293104
344,0.024984453,0.019754425,0.005230028
345,0.024227966,0.02306275,0.0011652149
346,0.023336032,0.024926152,-0.0015901197
347,0.021500405,0.019273542,0.002226863
348,0.02246849,0.015760463,0.006708028
349,0.02162306,0.015356973,0.0062660873
350,0.00079999975,0.015959023,-0.015159023
351,0.00039988,0.010785256,-0.0103853755
352,-0.0002,0.0057493113,-0.0059493114
353,-0.0016019202,0.0020384276,-0.0036403479
354,-0.0010024053,-0.0008355249,-0.00016688043
355,-0.0016101418,-0.002340191,0.0007300492
356,0.018178813,-0.0034230244,0.021601837
357,-0.0024849789,0.0015248163,-0.0040097954
358,-0.0029148324,0.000544345,-0.0034591774
359,-0.0031324895,-0.0017995089,-0.0013329806
360,-0.0035740337,-0.0038652024,0.0002911687
361,-0.0038788633,-0.0005831579,-0.0032957054
362,-0.0043454235,0.0005768994,-0.004922323
363,-0.005179527,0.0001087049,-0.005288232
364,-0.0056914273,-0.001400508,-0.0042909193
365,-0.0056914273,-0.0031689317,-0.0025224956
366,-0.0056914273,-0.004454785,-0.0012366422
367,-0.0056914273,-0.0051957485,-0.00049567875
368,-0.0056914273,-0.005533081,-0.00015834626
369,-0.0056914273,-0.0056326315,-5.879579e-05
370,-0.0056914273,-0.005617955,-7.34725e-05
371,-0.0056914273,-0.0055627655,-0.00012866175
372,-0.0056914273,-0.005503256,-0.0001881714
373,-0.0056914273,-0.0054532154,-0.00023821183
374,-0.0056914273,-0.005415641,-0.0002757865
375,-0.048722554,-0.0053886096,-0.043333944
376,-0.052558832,-0.021302477,-0.031256355
377,-0.057049792,-0.03946805,-0.017581742
378,-0.05547002,-0.055629935,0.00015991554
379,-0.05547002,-0.06674391,0.011273891
380,-0.057049792,-0.07375914,0.016709346
381,-0.057049792,-0.078566566,0.021516774
382,-0.07812646,-0.08181812,0.0036916584
383,-0.057049792,-0.09071027,0.033660475
384,-0.057049792,-0.09298901,0.03593922
385,-0.058722023,-0.09348515,0.034763124
386,-0.08326423,-0.09432453,0.0110602975
387,-0.086123705,-0.10343549,0.017311782
388,-0.099325374,-0.11369197,0.014366597
389,-0.14654866,-0.12684326,-0.0197054
390,-0.111999325,-0.15393731,0.041937985
391,-0.1222022,-0.16620782,0.044005617
392,-0.090535745,-0.17562552,0.08508977
393,-0.11043153,-0.171658,0.061226465
394,-0.12403473,-0.1730941,0.04905936
395,-0.15205719,-0.18071748,0.028660297
396,-0.17888544,-0.2067469,0.027861461
397,-0.24253562,-0.23454049,-0.007995129
398,-0.31622776,-0.27504757,-0.041180193
399,-0.5547002,-0.33053213,-0.22416806
400,-0.8944272,-0.43993208,-0.4544951
401,-0.70710677,-0.55117166,-0.15593511
402,-0.37139067,-0.532549,0.16115835
403,-0.27472112,-0.42519957,0.15047845
404,-0.21693046,-0.31123328,0.09430282
405,-0.17888544,-0.22747657,0.048591122
406,-0.13216372,-0.17406566,0.041901946
407,-0.11684125,-0.13788521,0.021043964
408,-0.11043153,-0.11528434,0.004852809
409,-0.09480909,-0.10243496,0.0076258704
410,-0.086629614,-0.09370822,0.007078603
411,-0.079745226,-0.08763799,0.007892765
412,-0.07124705,-0.083069906,0.011822857
413,-0.06651901,-0.07870391,0.012184903
414,-0.06049506,-0.07463291,0.014137853
415,-0.057049792,-0.071251914,0.014202122
416,-0.05547002,-0.06842679,0.012956768
417,-0.05547002,-0.06636235,0.010892332
418,-0.05547002,-0.06528535,0.009815328
419,-0.05547002,-0.064932495,0.009462476
420,-0.053975258,-0.06500031,0.0110250525
421,-0.053975258,-0.064852595,0.010877337
422,-0.053975258,-0.06478701,0.01081175
423,-0.053975258,-0.064770006,0.010794748
424,-0.052558832,-0.06483558,0.012276746
425,-0.052558832,-0.064519405,0.0119605735
426,-0.052558832,-0.06422776,0.011668928
427,-0.052558832,-0.064080805,0.011521973
428,-0.052558832,-0.06401707,0.01145824
429,-0.052558832,-0.06409806,0.011539228
