time_step,true_pitch_deg,pred_pitch_deg,error
254,-82.51787,-83.69631,1.1784439
255,-84.89957,-85.80969,0.91012573
256,-87.07038,-84.85617,-2.2142105
257,-88.182884,-82.14452,-6.0383606
258,-88.38614,-79.91492,-8.471222
259,-88.182884,-80.85055,-7.3323364
260,-88.182884,-82.31846,-5.8644257
261,-88.38614,-83.422516,-4.963623
262,-88.38614,-83.785934,-4.6002045
263,-88.182884,-83.821724,-4.3611603
264,-88.182884,-84.20642,-3.9764633
265,-88.182884,-84.32435,-3.8585358
266,-88.182884,-84.27579,-3.9070969
267,-87.71781,-84.233246,-3.4845657
268,-87.07038,-84.40877,-2.6616135
269,-87.07038,-84.048515,-3.0218658
270,-86.39226,-83.500114,-2.8921432
271,-84.89957,-82.908554,-1.9910126
272,-82.51787,-81.978714,-0.53915405
273,-79.34136,-80.601524,1.2601624
274,-77.74842,-78.924416,1.1759949
275,-76.8598,-77.4328,0.57299805
276,-75.258,-76.3735,1.1154938
277,-73.65979,-75.492676,1.8328857
278,-72.06636,-74.778046,2.7116852
279,-70.4787,-74.065285,3.586586
280,-69.54424,-73.0473,3.5030594
281,-69.54424,-71.86866,2.324417
282,-67.00405,-70.802055,3.7980042
283,-63.779625,-69.499596,5.7199707
284,-61.293026,-68.59576,7.3027306
285,-59.679188,-67.020935,7.3417473
286,-58.73692,-65.89707,7.1601524
287,-58.73692,-64.43797,5.7010536
288,-58.73692,-63.203667,4.4667473
289,-58.73692,-62.319347,3.582428
290,-58.73692,-61.756195,3.0192757
291,-58.73692,-61.438087,2.701168
292,-57.733017,-61.271526,3.5385094
293,-57.18217,-61.032295,3.8501244
294,-57.18217,-60.69901,3.516838
295,-57.18217,-60.389305,3.2071342
296,-57.18217,-60.13649,2.954319
297,-56.174656,-59.93686,3.7622032
298,-56.174656,-59.62804,3.4533844
299,-56.174656,-59.31533,3.1406746
300,-56.174656,-59.042038,2.867382
301,-56.174656,-58.816914,2.6422577
302,-54.6289,-58.630142,4.0012436
303,-54.6289,-58.212124,3.5832253
304,-54.6289,-57.765736,3.136837
305,-53.608894,-57.361504,3.7526093
306,-53.608894,-56.852245,3.243351
307,-53.608894,-56.35888,2.7499847
308,-52.07375,-55.92351,3.849762
309,-52.07375,-55.2963,3.2225494
310,-52.07375,-54.67761,2.603859
311,-52.07375,-54.13265,2.058899
312,-51.042294,-53.672623,2.6303291
313,-51.002644,-53.10661,2.1039658
314,-49.481747,-52.85877,3.3770218
315,-49.481747,-52.320366,2.8386192
316,-48.477486,-51.651253,3.173767
317,-45.91709,-50.46562,4.548527
318,-45.91709,-48.90884,2.9917488
319,-44.42303,-47.46441,3.041378
320,-42.29645,-46.05639,3.7599373
321,-40.819775,-44.55218,3.7324066
322,-39.745872,-43.00904,3.2631683
323,-38.66463,-41.513042,2.8484116
324,-37.208405,-40.098495,2.890091
325,-36.12206,-38.699203,2.5771446
326,-33.59613,-37.334152,3.7380219
327,-32.49952,-35.800663,3.3011436
328,-31.396742,-34.29052,2.8937778
329,-29.990162,-32.84264,2.852478
330,-28.885511,-31.423777,2.5382652
331,-27.775335,-30.030739,2.2554035
332,-26.659805,-28.676966,2.0171604
333,-25.287182,-27.362333,2.0751514
334,-24.171888,-26.005247,1.8333588
335,-23.051918,-24.646906,1.5949879
336,-20.79869,-23.306618,2.507927
337,-19.47122,-21.730251,2.2590313
338,-18.3453,-20.063929,1.7186279
339,-18.353523,-18.431005,0.07748222
340,-17.224209,-16.663181,-0.5610275
341,-16.09151,-14.986365,-1.1051455
342,-14.930318,-13.417889,-1.5124292
343,-13.791652,-12.332154,-1.4594975
344,-12.6502285,-11.326523,-1.3237057
345,-11.392323,-10.23073,-1.1615925
346,-9.120208,-9.030938,-0.08926964
347,-7.995229,-7.852539,-0.1426897
348,-6.8408356,-7.251258,0.41042233
349,-4.5559864,-6.675407,2.1194205
350,-2.2906094,-5.6011324,3.310523
351,-1.1454192,-3.5201979,2.3747787
352,1.1457628,-1.16977,2.3155327
353,4.579387,1.2549863,3.324401
354,5.7242374,3.9157593,1.8084781
355,9.146926,6.382886,2.76404
356,11.430468,8.939693,2.4907742
357,13.821037,10.965029,2.8560085
358,16.09647,13.408894,2.6875763
359,17.229525,15.949469,1.280056
360,19.485273,18.270813,1.2144604
361,20.813229,21.234303,-0.4210739
362,23.066803,24.06175,-0.99494743
363,26.675602,26.665358,0.0102443695
364,28.901705,29.311651,-0.40994644
365,28.901705,31.802488,-2.9007835
366,28.901705,33.72313,-4.8214245
367,28.901705,35.034275,-6.1325703
368,28.901705,35.847992,-6.946287
369,28.901705,36.312,-7.4102955
370,28.901705,36.555176,-7.653471
371,28.901705,36.670994,-7.769289
372,28.901705,36.719482,-7.8177776
373,28.901705,36.735912,-7.8342075
374,28.901705,36.738922,-7.8372173
375,56.174656,36.737617,19.437038
376,58.73692,41.61976,17.11716
377,61.293026,47.537575,13.755451
378,60.303333,52.943043,7.3602905
379,60.303333,56.81834,3.484993
380,61.293026,59.292805,2.0002213
381,61.293026,60.88426,0.4087677
382,61.237843,61.818295,-0.58045197
383,61.293026,62.85032,-1.5572929
384,61.293026,63.53477,-2.241745
385,62.272602,64.12122,-1.8486214
386,62.806786,64.74228,-1.9354935
387,63.779625,66.04092,-2.2612915
388,66.93375,67.465454,-0.53170776
389,67.78097,69.33234,-1.5513687
390,69.46535,72.425125,-2.9597778
391,71.05325,74.53779,-3.4845352
392,72.06636,76.3203,-4.253937
393,75.258,77.061104,-1.8031006
394,76.8598,78.16644,-1.3066406
395,79.34136,79.7276,-0.3862381
396,80.93264,83.852516,-2.919876
397,83.35291,86.31096,-2.958046
398,84.89957,88.91741,-4.017845
399,87.07038,92.40999,-5.3396072
400,88.182884,97.49259,-9.309708
401,87.71781,98.0832,-10.365387
402,85.62557,94.20876,-8.583191
403,84.08866,89.74355,-5.654892
404,82.51787,84.80543,-2.2875595
405,80.93264,81.19095,-0.2583084
406,77.74842,79.08637,-1.3379517
407,76.156456,77.814255,-1.6577988
408,75.258,77.00314,-1.7451401
409,72.74097,76.47167,-3.7307053
410,71.13943,75.86214,-4.7227097
411,69.54424,75.12135,-5.5771103
412,67.00405,74.225136,-7.2210846
413,65.417656,73.07575,-7.6580963
414,62.865784,71.7275,-8.861717
415,61.293026,70.13728,-8.844257
416,60.303333,68.49212,-8.188786
417,60.303333,66.94889,-6.6455574
418,60.303333,65.688255,-5.384922
419,60.303333,64.72833,-4.424999
420,59.73095,64.02548,-4.294533
421,59.73095,63.4324,-3.7014503
422,59.73095,62.983654,-3.2527046
423,59.73095,62.66589,-2.9349403
424,58.73692,62.436356,-3.6994362
425,58.73692,62.119427,-3.3825073
426,58.73692,61.80362,-3.0667
427,58.73692,61.525448,-2.7885284
428,58.73692,61.30692,-2.5699997
429,58.73692,61.135143,-2.3982239
430,58.73692,60.971706,-2.234787
431,57.733017,60.805748,-3.072731
432,57.13466,60.51936,-3.3847008
433,57.13466,60.54769,-3.4130325
434,57.13466,60.580246,-3.4455872
435,57.13466,60.565983,-3.431324
436,57.13466,60.490406,-3.3557472
437,57.13466,60.358517,-3.2238579
438,56.128254,60.207726,-4.0794716
439,56.128254,62.347286,-6.2190323
440,56.128254,63.150944,-7.02269
441,56.128254,62.869568,-6.741314
442,56.128254,62.212765,-6.084511
443,56.128254,61.52206,-5.3938065
444,54.5851,60.918297,-6.3331985
445,54.5851,60.199646,-5.6145477
446,54.5851,59.515873,-4.9307747
447,54.5851,58.86859,-4.283493
448,53.56607,58.305927,-4.7398567
449,53.608894,57.67639,-4.0674973
450,52.03323,56.735966,-4.702736
451,52.07375,55.86632,-3.792572
452,51.002644,54.819073,-3.8164291
453,49.481747,53.952225,-4.470478
454,48.477486,52.920227,-4.4427414
455,46.93329,51.577015,-4.6437263
456,45.882847,50.30323,-4.4203835
457,44.857677,49.026836,-4.169159
458,43.33176,47.53784,-4.2060814
459,41.190804,46.055927,-4.8651237
460,39.716675,44.467484,-4.7508087
461,38.636005,42.82029,-4.184284
462,37.208405,41.19091,-3.9825058
463,36.09531,39.495827,-3.4005165
464,34.66091,37.909637,-3.248726
465,32.475,36.361843,-3.8868446
466,31.37271,34.731354,-3.3586445
467,30.287952,33.080338,-2.792385
468,28.885511,31.442457,-2.5569458
469,27.775335,29.813404,-2.0380688
470,25.287182,28.237318,-2.9501362
471,24.171888,26.548979,-2.3770905
