time_step,true_pos_x,pred_pos_x,error
231,0.01,0.06689334,-0.05689334
232,-0.03,0.040825337,-0.07082534
233,-0.07,0.010186195,-0.080186196
234,-0.1,-0.023760319,-0.07623968
235,-0.12,-0.05855152,-0.061448477
236,-0.16,-0.09161863,-0.06838137
237,-0.18,-0.124619514,-0.055380493
238,-0.22,-0.15573046,-0.06426954
239,-0.26,-0.18709204,-0.072907954
240,-0.29,-0.2197434,-0.07025659
241,-0.31,-0.25286743,-0.057132572
242,-0.34,-0.2823564,-0.057643592
243,-0.36,-0.3119991,-0.048000902
244,-0.39,-0.3387731,-0.051226884
245,-0.41,-0.3639026,-0.046097398
246,-0.44,-0.390264,-0.049735993
247,-0.46,-0.4157121,-0.04428792
248,-0.48,-0.43943724,-0.04056275
249,-0.51,-0.46108273,-0.048917264
250,-0.53,-0.48403713,-0.04596284
251,-0.55,-0.51713336,-0.032866657
252,-0.57,-0.54443395,-0.025566041
253,-0.59,-0.57506263,-0.014937341
254,-0.6,-0.65964854,0.059648514
255,-0.62,-0.7080413,0.088041306
256,-0.63,-0.7020192,0.07201922
257,-0.64,-0.636369,-0.0036309958
258,-0.66,-0.5264511,-0.13354892
259,-0.68,-0.4404821,-0.2395179
260,-0.69,-0.41355017,-0.27644983
261,-0.7,-0.41557273,-0.28442726
262,-0.72,-0.41626248,-0.30373755
263,-0.74,-0.4245219,-0.31547812
264,-0.76,-0.4507335,-0.30926648
265,-0.77,-0.47662118,-0.2933788
266,-0.79,-0.49751714,-0.29248288
267,-0.81,-0.51278996,-0.29721004
268,-0.82,-0.54715765,-0.27284235
269,-0.84,-0.59027445,-0.24972552
270,-0.85,-0.62213695,-0.22786307
271,-0.86,-0.6567931,-0.2032069
272,-0.87,-0.6969528,-0.17304718
273,-0.87,-0.7375964,-0.13240361
274,-0.88,-0.77441156,-0.105588436
275,-0.89,-0.80268526,-0.087314725
276,-0.89,-0.8233832,-0.06661677
277,-0.9,-0.83853054,-0.061469436
278,-0.9,-0.85255086,-0.047449112
279,-0.91,-0.86418283,-0.045817196
280,-0.91,-0.8709873,-0.03901273
281,-0.91,-0.87472904,-0.03527099
282,-0.91,-0.8762162,-0.033783853
283,-0.91,-0.8773589,-0.032641113
284,-0.91,-0.8819568,-0.02804321
285,-0.9,-0.89006233,-0.009937644
286,-0.9,-0.89620066,-0.0037993193
287,-0.9,-0.901544,0.0015439987
