time_step,true_roll_deg,pred_roll_deg,error
242,0.0,3.1219711,-3.1219711
243,0.0,3.4616165,-3.4616165
244,2.20509,3.7298203,-1.5247302
245,0.0,3.9042892,-3.9042892
246,0.0,4.2606125,-4.2606125
247,0.0,4.582855,-4.582855
248,2.9017456,4.8517685,-1.9500229
249,5.710593,4.986313,0.72428036
250,3.5890787,5.4901276,-1.9010489
251,7.5946436,6.7492523,0.8453913
252,8.746162,8.5920105,0.15415192
253,10.304847,11.7322235,-1.4273767
254,12.528808,16.557312,-4.0285044
255,18.434948,23.280983,-4.846035
256,33.690067,30.320625,3.369442
257,63.434948,45.302868,18.13208
258,90.0,73.52591,16.47409
259,63.434948,100.02805,-36.593105
260,63.434948,115.0412,-51.60625
261,90.0,124.42411,-34.42411
262,90.0,132.80008,-42.80008
263,116.56505,139.37558,-22.810532
264,116.56505,146.72583,-30.160782
265,116.56505,152.56474,-35.999695
266,116.56505,156.41808,-39.853027
267,135.0,158.6661,-23.666107
268,146.30994,162.27202,-15.962082
269,146.30994,167.35153,-21.041595
270,153.43495,170.5958,-17.160843
271,161.56505,172.96658,-11.401535
272,167.47119,174.90344,-7.432251
273,171.25385,176.14124,-4.88739
274,172.40535,176.49637,-4.0910187
275,172.87498,176.01666,-3.1416779
276,173.6598,175.12814,-1.468338
277,174.28941,174.37311,-0.08369446
278,174.80557,173.94629,0.85928345
279,175.23636,173.85004,1.386322
280,175.42607,174.16289,1.2631836
281,175.42607,174.85715,0.56892395
282,175.91438,175.63264,0.28173828
283,174.22899,176.50049,-2.2714996
284,176.7295,176.95741,-0.22790527
285,174.94632,177.67584,-2.7295227
286,176.98721,177.7445,-0.7572937
287,176.98721,178.19176,-1.2045441
288,176.98721,178.5767,-1.5894928
289,176.98721,178.85861,-1.8713989
290,176.98721,179.05185,-2.0646362
291,176.98721,179.20602,-2.218811
292,177.06433,179.32597,-2.2616425
293,177.13759,179.48615,-2.3485565
294,177.13759,179.6883,-2.550705
295,177.13759,179.85625,-2.7186584
296,177.13759,179.9768,-2.8392181
297,177.20729,180.06693,-2.8596344
298,177.20729,180.18378,-2.9764862
299,177.20729,180.28078,-3.0734863
300,177.20729,180.34055,-3.133255
301,177.20729,180.36737,-3.16008
302,177.337,180.37875,-3.041748
303,177.337,180.48143,-3.1444244
304,177.337,180.55473,-3.2177277
305,177.39743,180.57825,-3.1808167
306,177.39743,180.60085,-3.203415
307,177.39743,180.59378,-3.19635
308,177.51045,180.5516,-3.041153
309,177.51045,180.57666,-3.066208
310,177.51045,180.56969,-3.0592346
311,177.51045,180.52536,-3.0149078
312,177.56335,180.44821,-2.8848572
313,175.91699,180.42386,-4.5068665
314,176.06567,179.91574,-3.8500671
315,176.06567,179.66049,-3.594818
316,177.7094,179.54602,-1.8366241
317,177.83891,180.06448,-2.2255707
318,177.83891,180.6037,-2.7647858
319,177.91743,180.92023,-3.0027924
320,177.99045,181.10074,-3.1102905
321,178.05852,181.21692,-3.1584015
322,178.09085,181.27953,-3.188675
323,178.12212,181.29819,-3.1760712
324,178.1817,181.28241,-3.100708
325,178.21008,181.29343,-3.0833435
326,178.29019,181.29176,-3.0015717
327,178.31532,181.3327,-3.0173798
328,178.33972,181.33432,-2.9945984
