time_step,true_yaw_cos,pred_yaw_cos,error
313,0.9984198,1.0121003,-0.013680518
314,0.9985623,1.0089296,-0.010367334
315,0.9985623,1.0078939,-0.009331644
316,0.99920094,1.0079191,-0.008718133
317,0.99928874,1.0119069,-0.0126181245
318,0.99928874,1.0160441,-0.016755402
319,0.9993395,1.0185994,-0.01925987
320,0.999385,1.0198673,-0.020482302
321,0.99942595,1.0202782,-0.020852268
322,0.9994449,1.0198882,-0.02044326
323,0.99946296,1.01916,-0.01969707
324,0.99949646,1.0181563,-0.01865983
325,0.9995121,1.0174602,-0.01794815
326,0.99955475,1.0167654,-0.017210603
327,0.99956775,1.0162964,-0.01672864
328,0.9995802,1.0157807,-0.016200483
329,0.9996035,1.0147532,-0.015149713
330,0.9996144,1.0134968,-0.013882339
331,0.9996249,1.0121073,-0.012482345
332,0.999635,1.0107632,-0.011128187
333,0.99965394,1.0097789,-0.010124922
334,0.9996628,1.0091674,-0.009504616
335,0.99967146,1.0086931,-0.00902164
336,0.9996877,1.0084444,-0.008756757
337,0.9997027,1.008696,-0.008993268
338,0.9997098,1.0092165,-0.009506762
339,0.9999775,1.0097364,-0.00975889
340,0.9999804,1.0129647,-0.012984335
341,0.999983,1.0159817,-0.015998662
342,0.99966353,1.0182754,-0.018611848
343,0.9996759,1.0166612,-0.016985238
344,0.99968785,1.0152166,-0.0155287385
345,0.99970645,1.0146947,-0.014988244
346,0.99972767,1.0151011,-0.015373409
347,0.99976885,1.0286343,-0.028865457
348,0.9997476,1.0314034,-0.031655848
349,0.9997662,1.0287188,-0.028952658
350,0.9999997,1.0275258,-0.02752608
351,0.99999994,1.0296392,-0.029639304
352,1.0,1.0310489,-0.031048894
353,0.9999987,1.0322373,-0.032238603
354,0.9999995,1.032014,-0.03201449
355,0.9999987,1.0323697,-0.032371044
356,0.9998348,1.0331265,-0.033291698
357,0.9999969,1.0329425,-0.032945633
358,0.99999577,1.0354408,-0.035445035
359,0.9999951,1.0381354,-0.038140297
360,0.9999936,1.040582,-0.04058832
361,0.9999925,1.0586278,-0.058635354
