time_step,true_pos_z,pred_pos_z,error
387,1.88,1.8444308,0.03556919
388,1.84,1.8375616,0.002438426
389,1.82,1.8241239,-0.004123807
390,1.79,1.8130352,-0.023035288
391,1.77,1.7964344,-0.026434422
392,1.74,1.7775722,-0.037572145
393,1.71,1.7554914,-0.045491338
394,1.68,1.7307191,-0.050719142
395,1.65,1.7054551,-0.05545509
396,1.62,1.6515014,-0.031501412
397,1.57,1.5703632,-0.0003631115
398,1.55,1.5017344,0.048265576
399,1.51,1.461877,0.048123002
400,1.48,1.4464253,0.0335747
401,1.45,1.3987986,0.051201463
402,1.41,1.396256,0.013743997
403,1.36,1.4467895,-0.08678949
404,1.33,1.4396422,-0.10964215
405,1.3,1.3824453,-0.08244538
406,1.27,1.3136804,-0.04368043
407,1.24,1.2499095,-0.009909511
408,1.21,1.1966455,0.01335454
409,1.17,1.1535077,0.016492248
410,1.14,1.1152569,0.02474308
411,1.11,1.0803446,0.029655457
412,1.07,1.0475572,0.022442818
413,1.04,1.0151236,0.024876356
414,0.99,0.98504394,0.0049560666
415,0.96,0.95175534,0.008244634
416,0.93,0.9168151,0.013184905
417,0.89,0.8825443,0.0074557066
418,0.86,0.84823966,0.011760354
419,0.83,0.81483805,0.0151619315
420,0.8,0.7826499,0.017350137
421,0.75,0.75183666,-0.0018366575
422,0.72,0.71980596,0.00019407272
423,0.68,0.6876875,-0.007687509
424,0.64,0.6551463,-0.015146315
425,0.6,0.62251717,-0.022517145
426,0.55,0.5894911,-0.039491117
427,0.51,0.55459744,-0.044597447
428,0.44,0.518278,-0.078278005
429,0.41,0.4775312,-0.0675312
430,0.38,0.4371033,-0.057103306
431,0.33,0.39888963,-0.06888962
432,0.29,0.36044115,-0.07044116
433,0.26,0.3297885,-0.069788516
434,0.23,0.3008085,-0.070808485
435,0.18,0.27188623,-0.09188622
436,0.14,0.24086231,-0.10086231
437,0.1,0.20845738,-0.10845738
438,0.07,0.17439371,-0.10439371
439,0.03,0.064284205,-0.034284204
440,-0.03,-0.03748107,0.0074810702
441,-0.08,-0.11768818,0.03768818
442,-0.12,-0.18194675,0.061946757
443,-0.16,-0.23443657,0.074436575
444,-0.2,-0.2792564,0.0792564
445,-0.24,-0.31871104,0.07871105
446,-0.28,-0.35573196,0.07573196
447,-0.32,-0.3903681,0.07036811
448,-0.35,-0.42431003,0.074310035
449,-0.4,-0.45656526,0.056565255
450,-0.44,-0.49330872,0.053308725
451,-0.48,-0.5263708,0.046370834
452,-0.52,-0.5634121,0.04341209
453,-0.57,-0.59792125,0.02792126
454,-0.61,-0.6317916,0.021791577
455,-0.64,-0.66913104,0.029131055
456,-0.68,-0.7026042,0.022604167
457,-0.71,-0.73577726,0.02577728
458,-0.75,-0.7714168,0.021416783
459,-0.79,-0.8074423,0.017442286
460,-0.83,-0.8442155,0.014215529
461,-0.87,-0.88173926,0.011739254
462,-0.9,-0.91985154,0.019851565
463,-0.93,-0.9567057,0.026705682
464,-0.96,-0.9923835,0.0323835
465,-0.99,-1.0266336,0.03663361
466,-1.02,-1.0593067,0.03930676
467,-1.04,-1.0902278,0.05022788
468,-1.07,-1.1180818,0.048081756
469,-1.11,-1.1447458,0.034745812
470,-1.14,-1.1727573,0.032757282
471,-1.16,-1.2013583,0.04135835
472,-1.2,-1.2288454,0.02884531
473,-1.22,-1.2568477,0.03684771
474,-1.24,-1.2854761,0.04547608
475,-1.27,-1.3136158,0.043615818
476,-1.3,-1.3417054,0.04170549
477,-1.32,-1.3695185,0.049518466
478,-1.34,-1.3966101,0.056610107
479,-1.36,-1.4207313,0.06073129
480,-1.37,-1.4423951,0.07239509
481,-1.39,-1.4611585,0.07115853
482,-1.41,-1.4778783,0.067878366
483,-1.43,-1.4935154,0.063515425
484,-1.45,-1.5082083,0.058208227
485,-1.46,-1.5226775,0.0626775
486,-1.48,-1.5355787,0.05557871
487,-1.49,-1.5478313,0.057831287
488,-1.51,-1.5589297,0.04892969
489,-1.52,-1.5693711,0.049371123
490,-1.53,-1.5788296,0.048829675
491,-1.53,-1.5870956,0.057095647
492,-1.54,-1.5917832,0.051783204
493,-1.55,-1.5959269,0.04592693
494,-1.56,-1.5997454,0.03974545
495,-1.56,-1.601271,0.04127109
496,-1.57,-1.6012079,0.0312078
497,-1.57,-1.6008314,0.030831337
498,-1.58,-1.5991908,0.019190788
499,-1.58,-1.5968186,0.016818523
500,-1.58,-1.59351,0.013509989
501,-1.58,-1.5888833,0.008883238
502,-1.57,-1.5833656,0.013365507
503,-1.57,-1.5757736,0.0057735443
504,-1.57,-1.6452044,0.07520437
505,-1.56,-1.666855,0.106855035
506,-1.56,-1.6517588,0.09175885
507,-1.54,-1.6295646,0.08956468
508,-1.53,-1.6082441,0.07824409
509,-1.53,-1.5906636,0.06066358
510,-1.51,-1.5757993,0.065799356
511,-1.49,-1.5614961,0.07149613
512,-1.48,-1.545253,0.06525302
513,-1.47,-1.5272352,0.05723512
514,-1.45,-1.5089574,0.05895734
515,-1.43,-1.4896328,0.059632897
516,-1.4,-1.4679697,0.06796968
517,-1.37,-1.441873,0.07187295
518,-1.35,-1.4121295,0.062129498
519,-1.34,-1.3815353,0.04153526
520,-1.32,-1.3496742,0.029674172
521,-1.3,-1.3205698,0.020569801
522,-1.28,-1.2899475,0.009947538
523,-1.26,-1.2587312,-0.0012687445
524,-1.24,-1.2307936,-0.009206414
525,-1.21,-1.2057997,-0.0042003393
526,-1.19,-1.1814299,-0.008570194
527,-1.15,-1.1575222,0.0075222254
