time_step,true_pos_y,pred_pos_y,error
295,0.19,0.189523,0.00047700107
296,0.19,0.18953735,0.00046265125
297,0.19,0.1895517,0.00044830143
298,0.19,0.18956362,0.0004363805
299,0.19,0.18957604,0.00042395294
300,0.19,0.18958655,0.00041344762
301,0.19,0.18959574,0.0004042536
302,0.19,0.18960595,0.0003940463
303,0.19,0.1896127,0.00038729608
304,0.19,0.18961841,0.00038158894
305,0.19,0.18962798,0.0003720224
306,0.19,0.18963477,0.00036522746
307,0.19,0.18964192,0.0003580749
308,0.19,0.18964978,0.000350222
309,0.19,0.18965313,0.00034686923
310,0.19,0.18965371,0.00034628808
311,0.19,0.18965457,0.00034542382
312,0.19,0.18965621,0.0003437847
313,0.19,0.18965107,0.0003489256
314,0.19,0.18965954,0.00034046173
315,0.19,0.18968694,0.0003130585
316,0.19,0.18971372,0.0002862811
317,0.19,0.18971555,0.00028444827
318,0.19,0.18969004,0.00030995905
319,0.19,0.18965797,0.00034202635
320,0.19,0.18962587,0.00037412345
321,0.19,0.18959889,0.00040110946
322,0.19,0.18957913,0.0004208684
323,0.19,0.18956798,0.00043201447
324,0.19,0.18956093,0.00043906271
325,0.19,0.18955673,0.00044326484
326,0.19,0.18955438,0.00044561923
327,0.19,0.1895504,0.00044959784
328,0.19,0.18955882,0.00044117868
329,0.19,0.18956289,0.00043711066
330,0.19,0.18956824,0.00043176115
331,0.19,0.18957305,0.00042694807
332,0.19,0.18957771,0.000422284
333,0.19,0.18958274,0.00041726232
334,0.19,0.18958794,0.0004120618
335,0.19,0.18959235,0.00040765107
336,0.19,0.18959594,0.0004040599
337,0.19,0.189601,0.0003989935
338,0.19,0.18960719,0.0003928095
339,0.19,0.18961176,0.00038823485
340,0.19,0.18960927,0.00039072335
341,0.19,0.18958467,0.00041532516
342,0.19,0.18955275,0.00044724345
343,0.19,0.18952599,0.00047400594
344,0.19,0.18953165,0.0004683435
345,0.19,0.18955316,0.00044684112
346,0.18,0.18957466,-0.009574652
347,0.18,0.18624757,-0.006247565
348,0.18,0.18324468,-0.0032446682
349,0.18,0.18150492,-0.001504913
350,0.18,0.18078399,-0.0007839799
351,0.18,0.18063514,-0.0006351322
352,0.18,0.18070471,-0.0007047057
353,0.18,0.18082535,-0.0008253455
354,0.18,0.18092805,-0.0009280443
355,0.18,0.18100592,-0.0010059178
356,0.18,0.18105236,-0.0010523498
357,0.18,0.18107699,-0.0010769814
358,0.18,0.18111952,-0.0011195093
359,0.18,0.18113273,-0.0011327267
360,0.19,0.1811234,0.008876592
361,0.19,0.18462718,0.0053728223
362,0.19,0.18752933,0.0024706721
363,0.19,0.18914647,0.0008535236
364,0.19,0.18982472,0.00017528236
365,0.19,0.18998684,1.3157725e-05
366,0.19,0.18992318,7.6815486e-05
367,0.19,0.18979238,0.00020761788
368,0.19,0.18966763,0.0003323704
369,0.19,0.18957369,0.00042630732
370,0.19,0.189512,0.00048799813
371,0.19,0.1894754,0.0005245954
372,0.19,0.18945554,0.0005444586
373,0.19,0.1894457,0.0005542934
