step,time,reference_dx,reference_dy,policy_throttle,policy_steer,action_throttle,action_steer,control_throttle,control_steer,control_brake,control_reverse,control_hand_brake,predicted_delta_x,predicted_delta_y,predicted_delta_z,predicted_delta_yaw,target_yaw_step_deg,ref_x,ref_y,ref_z,ref_yaw_deg,pred_x,pred_y,pred_z,pred_yaw_deg,speed_mps,error_x,error_y,error_z,error_pos_l2,error_yaw_deg,current_loss,cumulative_mean_loss,total_loss
20,0.7465691285113989,0.03721487522125244,0.03577470779418945,0.03480623662471771,0.32279184460639954,0.03480623662471771,0.32279184460639954,0.03480623662471771,0.32279184460639954,0.0,0,0,0.014921309426426888,1.4302364434115589e-05,-0.000571206328459084,0.3114943504333496,-0.10871059040832165,-59.11332321166992,23.42656898498535,0.0018781661055982113,-11.534317909531637,-60.14720153808594,23.63701629638672,0.0018757247598841786,-9.750105857849121,0.18129905138707578,-1.0338783264160156,0.2104473114013672,-2.44134571403265e-06,1.0550793409347534,1.7842120516825162,0.15906250476837158,0.06092091649770737,0.11123924164475929
21,0.7838975849369688,0.04129528999328613,0.03953433036804199,0.03480623662471771,0.31942397356033325,0.03480623662471771,0.31942397356033325,0.03480623662471771,0.31942397356033325,0.0,0,0,0.013301156461238861,-8.416570199187845e-05,-0.0005753518198616803,0.3312472105026245,-0.12695882822387716,-59.05731964111328,23.415077209472656,0.0018781661055982113,-11.661276737755514,-60.13995361328125,23.63702392578125,0.00188274378888309,-9.704602241516113,0.1237543529027563,-1.0826339721679688,0.22194671630859375,4.577683284878731e-06,1.1051501035690308,1.9566744962394012,0.1745210438966751,0.06608454883098602,0.12179310449384194
22,0.8212260413625387,0.03711432218551636,0.035378217697143555,0.03480623662471771,0.32153502106666565,0.12033143639564514,0.11999999731779099,0.12033143639564514,0.11999999731779099,0.0,0,0,0.013637268915772438,-0.0001740823354339227,-0.0006063605542294681,0.4806731939315796,-0.12055911412940645,-59.00711441040039,23.404661178588867,0.0018781661055982113,-11.78183585188492,-60.13262939453125,23.636531829833984,0.0018822097918018699,-9.66340446472168,0.16250317088380897,-1.1255149841308594,0.2318706512451172,4.043686203658581e-06,1.1491509675979614,2.118431387163241,0.18869850039482117,0.07141559571027756,0.1385145789750401
23,0.8585544977881087,0.037063539028167725,0.03517788648605347,0.03480623662471771,0.23918361961841583,0.03480623662471771,0.23918361961841583,0.03480623662471771,0.23918361961841583,0.0,0,0,0.013179227709770203,-0.00018114433623850346,-0.0004682278377003968,0.3841908276081085,-0.12604428582017135,-58.95710372924805,23.39417266845703,0.0018781661055982113,-11.907880137705064,-60.12618637084961,23.63608169555664,0.0018863677978515625,-9.64204216003418,0.10809549857387865,-1.1690826416015625,0.24190902709960938,8.201692253351212e-06,1.1938484907150269,2.265837977670884,0.2036668062210083,0.07692606002092361,0.14498290911528372
24,0.8958829542136786,0.041119277477264404,0.03884166479110718,0.03480623662471771,0.3438560664653778,0.12033143639564514,0.11999999731779099,0.12033143639564514,0.11999999731779099,0.0,0,0,0.013909300789237022,-0.00017675809795036912,-0.00048646528739482164,0.5053690075874329,-0.14693724902309668,-58.901771545410156,23.382431030273438,0.0018781661055982113,-12.05481738672816,-60.119667053222656,23.63542366027832,0.001884956262074411,-9.610272407531738,0.14568271326024027,-1.2178955078125,0.2529926300048828,6.790156476199627e-06,1.2438949346542358,2.444544979196422,0.2211044877767563,0.0826931968331337,0.15773941118329485
25,0.9332114106392486,0.0369490385055542,0.03472864627838135,0.03480623662471771,0.19137436151504517,0.12033143639564514,0.11999999731779099,0.12033143639564514,0.11999999731779099,0.0,0,0,0.01640096865594387,-0.00014629618090111762,-0.000349477311829105,0.538391649723053,-0.13838102521026485,-58.852195739746094,23.371780395507812,0.0018781661055982113,-12.193198411938454,-60.112606048583984,23.63478660583496,0.001880645751953125,-9.602766036987305,0.12747953908212672,-1.2604103088378906,0.26300621032714844,2.4796463549137115e-06,1.2875583171844482,2.590432374951149,0.2369031012058258,0.08862435072660446,0.16620003720161133
26,0.9705398670648185,0.03689146041870117,0.034503400325775146,0.03480623662471771,0.16982406377792358,0.12033143639564514,0.11999999731779099,0.12033143639564514,0.11999999731779099,0.0,0,0,0.01979631558060646,-2.4016195311560296e-05,-0.0002544972230680287,0.5569389462471008,-0.14423684202668596,-58.802833557128906,23.36104965209961,0.0018781661055982113,-12.337435253965111,-60.10350036621094,23.633861541748047,0.0018698882777243853,-9.579113960266113,0.15826751630240302,-1.3006668090820312,0.2728118896484375,-8.277827873826027e-06,1.3289697170257568,2.758321293698998,0.25239089131355286,0.09468977153301239,0.17732586350815369
27,1.0078683234903885,0.04092073440551758,0.038063645362854004,0.03480623662471771,0.14695556461811066,0.03480623662471771,0.14695556461811066,0.03480623662471771,0.14695556461811066,0.0,0,0,0.018372392281889915,1.5116633221623488e-05,-0.0003461898595560342,0.3937714397907257,-0.16766801040938617,-58.74825668334961,23.349029541015625,0.0018781661055982113,-12.505103264374497,-60.09359359741211,23.63297462463379,0.00186351768206805,-9.54597282409668,0.23697464467215773,-1.3453369140625,0.28394508361816406,-1.464842353016138e-05,1.3749749660491943,2.959130440277818,0.2701750099658966,0.10095709562301636,0.18997648542957313
28,1.0451967799159585,0.03676331043243408,0.03400242328643799,0.03480623662471771,0.3457196056842804,0.03480623662471771,0.3457196056842804,0.03480623662471771,0.3457196056842804,0.0,0,0,0.017225299030542374,7.806006033206359e-05,-0.00045029292232356966,0.26149144768714905,-0.15764692730203933,-58.69938278198242,23.338119506835938,0.0018781661055982113,-12.662750191676537,-60.08454132080078,23.63240623474121,0.0018700789660215378,-9.499828338623047,0.141818682773134,-1.3851585388183594,0.29428672790527344,-8.087139576673508e-06,1.4160751104354858,3.16292185305349,0.28657621145248413,0.10735775530338287,0.2057958497522897
29,1.0825252363415283,0.03669929504394531,0.033753156661987305,0.03480623662471771,0.28047975897789,0.12033143639564514,0.11999999731779099,0.12033143639564514,0.11999999731779099,0.0,0,0,0.020345937460660934,0.00023973966017365456,-0.0006213621236383915,0.2865712642669678,-0.1632043290892966,-58.65074920654297,23.32712173461914,0.0018781661055982113,-12.825954520765833,-60.07478332519531,23.631681442260742,0.0018679427448660135,-9.458050727844238,0.2355464298259967,-1.4240341186523438,0.30455970764160156,-1.0223360732197762e-05,1.4562382698059082,3.367903792921595,0.303070604801178,0.11388152092695236,0.22099686425223045
